date,location,tempmax,tempmin,temp,dew,humidity,precip,precipprob,precipcover,preciptype,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon
2020-12-24,Chennai,30,22,25.2,19.7,73.5,0,0,0,,,18.4,39.6,1010.6,49.8,4.9,234.3,20.2,8,,2020-12-24 6:27:56,2020-12-24 17:49:14,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2020-12-25,Chennai,30,22,25.8,20.3,73.1,0,0,0,,,13,36.9,1011.6,44.7,5.1,224,19.5,8,,2020-12-25T06:28:24,2020-12-25 17:49:46,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2020-12-26,Chennai,30,22,25.7,20.8,75.6,0,0,0,,,14.8,26.8,1012.4,52.6,5.1,203.1,17.7,7,,2020-12-26 6:28:52,2020-12-26 17:50:18,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2020-12-27,Chennai,30,23,26,21.7,78,0,0,0,,,22.3,36.6,1011.5,48.5,4.3,201.2,17.4,7,,2020-12-27 6:29:18,2020-12-27 17:50:50,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2020-12-28,Chennai,30,22,26,21,74.8,0,0,0,,,18.4,29.2,1011.2,44.7,4.8,212.2,18.4,8,,2020-12-28 6:29:45,2020-12-28 17:51:23,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2020-12-29,Chennai,30,24.5,26.7,22.2,76.6,0,0,0,,,22.3,35.8,1011.1,82.4,4,168.3,14.6,6,,2020-12-29 6:30:10,2020-12-29 17:51:55,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2020-12-30,Chennai,29,25,27.1,23.3,80.6,5.628,100,4.17,rain,,24.1,51.9,1010.8,89.6,4,194.4,16.7,7,,2020-12-30 6:30:35,2020-12-30 17:52:29,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
2020-12-31,Chennai,30,24.9,27.4,22.5,75.2,0,0,0,,37.1,27.7,64.6,1011.6,80.3,4.9,200.1,17.3,7,,2020-12-31 6:30:59,2020-12-31 17:53:02,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-01-01,Chennai,30,23,26.3,21.1,74,0,0,0,,,27.7,53.8,1012.7,59.6,5,199.8,17.3,7,,2021-01-01 6:31:22,2021-01-01 17:53:36,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-01-02,Chennai,27,25,25.5,23.3,87.5,5.823,100,8.33,rain,,17.6,30.6,1012.1,89.8,3.5,163.1,14.1,6,,2021-01-02 6:31:45,2021-01-02 17:54:10,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain
2021-01-03,Chennai,28,25,26.2,23.8,86.7,0.22,100,4.17,rain,,27.7,50,1010.6,87.1,4.2,201.7,17.3,7,,2021-01-03 6:32:06,2021-01-03 17:54:43,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
2021-01-04,Chennai,29,23,26.6,23.2,82,0,0,0,,,22.3,47.7,1011.3,68.2,5,233.8,20.3,8,,2021-01-04 6:32:27,2021-01-04 17:55:18,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-01-05,Chennai,26,23,24.6,23.7,94.5,164.47,100,29.17,rain,,13.9,30.5,1011.3,97.1,2.7,100.4,8.8,4,,2021-01-05 6:32:47,2021-01-05 17:55:52,0.7,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
2021-01-06,Chennai,27.9,22,24.9,23.2,90.7,34.293,100,12.5,rain,,18.4,80.3,1010.7,82,3.9,75.8,6.5,3,,2021-01-06 6:33:06,2021-01-06 17:56:26,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
2021-01-07,Chennai,30,24.7,26.3,24.7,91,7.793,100,12.5,rain,,24.1,52.6,1009.9,87.9,4.3,163.7,14.1,6,,2021-01-07 6:33:24,2021-01-07 17:57:00,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
2021-01-08,Chennai,28,25,26.3,24.2,88.8,0,0,0,,,13,53.1,1009.4,84.9,5.1,190.6,16.4,7,,2021-01-08 6:33:41,2021-01-08 17:57:34,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-01-09,Chennai,30,24.8,26.9,24.2,85.7,0.073,100,4.17,rain,,20.5,66.5,1010,65.2,5.3,169.5,14.6,6,,2021-01-09 6:33:57,2021-01-09T17:58:08,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
2021-01-10,Chennai,30,25,27.3,24.6,85.7,0,0,0,,,24.1,40.8,1010.4,64.2,4.6,154.2,13.1,7,,2021-01-10 6:34:12,2021-01-10 17:58:42,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-01-11,Chennai,30,26,27.3,24.3,84.4,0.549,100,4.17,rain,,18.4,37.6,1011,74.4,4.9,122,10.5,5,,2021-01-11 6:34:26,2021-01-11 17:59:16,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
2021-01-12,Chennai,30,25,27.1,23.8,82.8,0,0,0,,,22.3,40.7,1011.3,73.2,5.4,141,12,5,,2021-01-12 6:34:40,2021-01-12 17:59:49,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-01-13,Chennai,30,24.8,26.8,23.4,82.2,0,0,0,,,25.9,55.3,1011.3,51.9,4.5,233.3,20,8,,2021-01-13 6:34:52,2021-01-13 18:00:23,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-01-14,Chennai,30,24.2,26.8,23.6,83.4,0,0,0,,,22.3,59,1011,59.9,4.6,211.6,18.3,8,,2021-01-14 6:35:03,2021-01-14 18:00:56,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-01-15,Chennai,31,23,26.5,22.2,78.3,0,0,0,,,18.4,66.9,1010.9,54.2,4.6,216.6,18.7,8,,2021-01-15 6:35:13,2021-01-15 18:01:29,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-01-16,Chennai,30,23,25.7,21.2,77,0,0,0,,,18.4,78.3,1010.4,36.4,5.5,251,21.7,9,,2021-01-16 6:35:22,2021-01-16 18:02:02,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-01-17,Chennai,30,21,25.5,19.8,71.9,0,0,0,,,16.6,65.8,1011.6,36.7,5.6,249.9,21.5,9,,2021-01-17 6:35:30,2021-01-17 18:02:34,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-01-18,Chennai,30,22,25.8,20.3,73.2,0,0,0,,,18.4,60.1,1012.1,40.9,5.8,221.7,19.2,8,,2021-01-18 6:35:37,2021-01-18 18:03:06,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-01-19,Chennai,31,22,26.4,21,74,0,0,0,,,22.3,45.4,1011.6,47,5,246.6,21.2,9,,2021-01-19 6:35:42,2021-01-19 18:03:38,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-01-20,Chennai,29,24,26.4,22.3,78.4,0,0,0,,,15.1,29.4,1012,57.3,4.3,202.2,17.5,7,,2021-01-20 6:35:47,2021-01-20 18:04:09,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-01-21,Chennai,31,24,27,23.8,83.5,0,0,0,,,14.8,86.6,1011.6,47.7,4.7,169.4,14.7,6,,2021-01-21 6:35:51,2021-01-21 18:04:40,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-01-22,Chennai,32,24.8,27.4,23.6,80.8,0,0,0,,,18.4,102.7,1011.4,46.4,5.3,240.1,20.8,9,,2021-01-22 6:35:53,2021-01-22 18:05:11,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-01-23,Chennai,30,23,26.3,21.6,76.7,0,0,0,,,16.6,85.9,1012,32.9,5.6,247.2,21.3,9,,2021-01-23 6:35:54,2021-01-23 18:05:41,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-01-24,Chennai,31,23,26.2,21.1,74.9,0,0,0,,,18.4,72.6,1012.8,43.7,4.9,251.9,21.7,9,,2021-01-24 6:35:54,2021-01-24 18:06:10,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-01-25,Chennai,31,23,26.3,20.7,73.1,0,0,0,,,14.8,89.4,1013,37.3,4.9,240.8,20.8,9,,2021-01-25 6:35:54,2021-01-25 18:06:39,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-01-26,Chennai,30,22,25.9,19.5,69.6,0,0,0,,,16.6,75.3,1012.6,34.4,5.5,259.6,22.4,9,,2021-01-26 6:35:52,2021-01-26 18:07:08,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-01-27,Chennai,30,22,25.6,20,72.3,0,0,0,,,16.6,74.2,1013,39,4.6,246.3,21.4,8,,2021-01-27 6:35:48,2021-01-27 18:07:36,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-01-28,Chennai,30,23,26.1,21.1,75,0,0,0,,,22.3,71.4,1012.9,53.7,4.1,254.5,21.9,9,,2021-01-28 6:35:44,2021-01-28 18:08:04,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-01-29,Chennai,31,23,26.6,21.1,73.1,0,0,0,,,20.5,72.7,1013.3,38.3,4.5,219.7,18.9,8,,2021-01-29 6:35:39,2021-01-29 18:08:31,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-01-30,Chennai,31,23,26.6,21.1,73.5,0,0,0,,,20.5,69.6,1012.8,39,4.7,246,21.1,9,,2021-01-30 6:35:32,2021-01-30 18:08:58,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-01-31,Chennai,31,22,26.4,21.3,74.9,0,0,0,,,18.4,76.4,1013.5,34.3,4.7,259.6,22.5,9,,2021-01-31 6:35:25,2021-01-31 18:09:24,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2021-02-01,Chennai,30,23,26.6,20.6,70.8,0,0,0,,,24.1,66.2,1015,43.9,5.4,266.7,23.1,9,,2021-02-01 6:35:16,2021-02-01 18:09:49,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
